
 System Test Results

	Test Arguments		Expected Results		Success	
	{"EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEEOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOEEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEEOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOEEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEEOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEEEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EEOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "EEEEEEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOO", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "EOOOEOOOOOOEOOEEOOEEOEEEEOOEOEEOEOEOEOOEOEOOE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEOOEOOOOEEOEOOEOEOEOEEOEOEEE", "OEEEOEEEEEEOEEOOEEEOEOOOOEEOEOOEOEOEOEEOEOEEE"}		{-1}		Passed	


	{"EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOEEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOEOEEEOOOEEOOOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEEEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEEE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEEEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "EOEOOEOOEEEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEEEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOEEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOEOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOEOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "OEOEEOEEOEOOEEEOEEEEEOEOEOOOEOEEOEEEOOOEEEOOEEEOE", "EOEOOEOOEOEEOOOEOOOOEEOEOEEEOEOOEOOOEEEOOOEEOOOEO", "OEOEEOEEOEOOEEEOEEEEOOEOEOOOEOEEOEEEOOOEEEOOEEEOE"}		{-1}		Passed	


	{"EOOEOOEOEE", "OEEOEEOEOO", "OEEOEEOEOO", "EOOEOOEOEE", "OEEOEEOEOO", "OEEOEEOEOO", "EOOEOOEOEE", "OEEOEEOEOO", "EOOEEOEOEE", "EOOEOOEOEE"}		{-1}		Passed	


	{"EOEEOOOOOOEOEEEOEEOEE", "OEOOEEEEEEOEOOOEOOEOO", "EOEEOOOOOOEOEEEOEEOEE", "EOEEOOOOOOEOEEEOEEOEE", "OEOOEEEEEEOEOOOEOOEOO", "OEOOEEEEEEOEOOOEOOEOO", "OEOOEEEEEEOEOEOEOOEOO", "OEOOEEEEEEOEOOOEOOEOO", "OEOOEEEEEEOEOOOEOOEOO", "OEOOEEEEEEOEOOOEOOEOO", "EOEEOOOOOOEOEEEOEEOEE", "OEOOEEEEEEOEOOOEOOEOO", "EOEEOOOOOOEOEEEOEEOEE", "EOEEOOOOOOEOEEEOEEOEE", "EOEEOOOOOOEOEEEOEEOEE", "OEOOEEEEEEOEOOOEOOEOO", "EOEEOOOOOOEOEEEOEEOEE", "EOEEOOOOOOEOEEEOEEOEE", "OEOOEEEEEEOEOOOEOOEOO", "EOEEOOOOOOEOEEEOEEOEE", "EOEEOOOOOOEOEEEOEEOEE"}		{-1}		Passed	


	{"EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEEEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOEOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEEEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEEEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOEOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEOOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "OOOEEEEEEEEOEEOEEEEOOOOOOEEOOOEEOOEOEOEEOO", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOEEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE", "EEEOOOOOOOOEOOEOOOOEEEEEEOOEEEOOEEOEOEOEEE"}		{-1}		Passed	


	{"EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "OOEOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEEEOEOEEEOO", "OOOOEEOEEEOOOOOEEOOOEOEOEOEEEOO", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE", "EEEEOOEOOOEEEEEOOEEEOEOEOEOOOEE"}		{-1}		Passed	


	{"EOOOOEOOOOEOO", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "EOOOOEOOOOEOO", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE", "EOOOOEOOOOEOO", "OEEEEOEEEEOEE", "OEEEEOEEEEOEE"}		{0, 1, 0, 2, 0, 3, 0, 4, 0, 6, 0, 7, 0, 8, 0, 9, 0, 11, 0, 12, 5, 1, 10, 1}		Passed	


	{"EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE", "OEOEOOOEOOOOEOOEOEOOEEEEOOEOEOEEEEOEO", "EOEOEEEOEEEEOEEOEOEEOOOOEEOEOEOOOOEOE"}		{0, 1, 0, 3, 0, 7, 0, 12, 0, 15, 0, 17, 0, 20, 0, 21, 0, 22, 0, 23, 0, 26, 0, 28, 0, 30, 0, 31, 0, 32, 0, 33, 0, 35, 2, 1, 4, 1, 5, 1, 6, 1, 8, 1, 9, 1, 10, 1, 11, 1, 13, 1, 14, 1, 16, 1, 18, 1, 19, 1, 24, 1, 25, 1, 27, 1, 29, 1, 34, 1, 36, 1}		Passed	


	{"EOEEEEEEEEOOOOEOEEOOEOE", "OEOOOOOOOOEEEEOEOOEEOEO", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "OEOOOOOOOOEEEEOEOOEEOEO", "OEOOOOOOOOEEEEOEOOEEOEO", "OEOOOOOOOOEEEEOEOOEEOEO", "OEOOOOOOOOEEEEOEOOEEOEO", "EOEEEEEEEEOOOOEOEEOOEOE", "OEOOOOOOOOEEEEOEOOEEOEO", "EOEEEEEEEEOOOOEOEEOOEOE", "EOEEEEEEEEOOOOEOEEOOEOE", "OEOOOOOOOOEEEEOEOOEEOEO", "OEOOOOOOOOEEEEOEOOEEOEO", "EOEEEEEEEEOOOOEOEEOOEOE", "OEOOOOOOOOEEEEOEOOEEOEO", "EOEEEEEEEEOOOOEOEEOOEOE"}		{0, 1, 0, 10, 0, 11, 0, 12, 0, 13, 0, 15, 0, 18, 0, 19, 0, 21, 2, 1, 3, 1, 4, 1, 5, 1, 6, 1, 7, 1, 8, 1, 9, 1, 14, 1, 16, 1, 17, 1, 20, 1, 22, 1}		Passed	


	{"EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "OOOEEEEOOEEOOEOEOOEEOOOO", "OOOEEEEOOEEOOEOEOOEEOOOO", "OOOEEEEOOEEOOEOEOOEEOOOO", "OOOEEEEOOEEOOEOEOOEEOOOO", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "OOOEEEEOOEEOOEOEOOEEOOOO", "OOOEEEEOOEEOOEOEOOEEOOOO", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "OOOEEEEOOEEOOEOEOOEEOOOO", "EEEOOOOEEOOEEOEOEEOOEEEE", "OOOEEEEOOEEOOEOEOOEEOOOO", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "OOOEEEEOOEEOOEOEOOEEOOOO", "OOOEEEEOOEEOOEOEOOEEOOOO", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE", "EEEOOOOEEOOEEOEOEEOOEEEE"}		{0, 3, 0, 4, 0, 5, 0, 6, 0, 9, 0, 10, 0, 13, 0, 15, 0, 18, 0, 19, 1, 3, 2, 3, 7, 3, 8, 3, 11, 3, 12, 3, 14, 3, 16, 3, 17, 3, 20, 3, 21, 3, 22, 3, 23, 3}		Passed	


	{"EOEOEEOE", "OEOEOOEO", "EOEOEEOE", "OEOEOOEO", "EOEOEEOE", "EOEOEEOE", "OEOEOOEO", "EOEOEEOE"}		{0, 1, 0, 3, 0, 6, 2, 1, 4, 1, 5, 1, 7, 1}		Passed	


